tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc_delta1,mfcc_delta2,mfcc_delta3,mfcc_delta4,mfcc_delta5,mfcc_delta6,mfcc_delta7,mfcc_delta8,mfcc_delta9,mfcc_delta10,mfcc_delta11,mfcc_delta12,mfcc_delta13,mfcc_delta14,mfcc_delta15,mfcc_delta16,mfcc_delta17,mfcc_delta18,mfcc_delta19,mfcc_delta20,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,tonnetz7,tonnetz8,tonnetz9,tonnetz10,spectral_contrast1,spectral_contrast2,spectral_contrast3,spectral_contrast4,spectral_contrast5,spectral_contrast6,spectral_contrast7,spectral_contrast8,spectral_contrast9,spectral_contrast10,spectral_contrast11,spectral_contrast12,spectral_contrast13,filename_label,manele
112.3471467,0.4536767,0.37115443,0.34152102,0.4205907,0.44727078,0.6766807,0.4360218,0.42508474,0.49166864,0.45656487,0.41790888,0.35936475,0.20870702,3320.416264,3051.394625,7239.951307,0.139526909,-43.321873,50.94609,8.607523,20.270884,11.234402,6.708766,5.8944016,7.647007,0.038164258,11.009975,2.4060285,8.033994,0.36828533,5.3445063,-0.2433839,3.6325645,-2.4088178,7.096795,3.6723294,6.611262,0.002181829,0.00293652,0.001377145,-0.000421142,-0.000976639,-0.00142449,-0.0010274,-0.000126734,0.000110485,1.18E-05,-0.000421656,-0.000570404,-0.000521979,-0.000597384,-0.00020403,-0.00010718,-0.000408933,-0.000282463,-8.72E-05,0.000206639,-0.014499248,0.029945142,-0.02274533,-0.000443476,-0.003382222,0.001178984,20.36921812,13.88709362,18.0328432,16.81134209,18.26266516,17.55296765,47.72590249,1
99.38401442,0.38402838,0.36389226,0.4528623,0.4923298,0.6631195,0.49270648,0.39849287,0.3691358,0.40624464,0.4115053,0.39709282,0.49035385,0.28233114,2955.260727,2933.239061,6529.954108,0.120187269,-24.096262,67.42589,7.166055,13.704066,5.976748,6.9234853,10.185058,7.9013042,-1.8898181,6.4745107,0.57108456,1.5866923,1.4148067,4.1718445,-2.0957894,3.283834,-2.0453901,1.9424546,0.65557396,5.1988034,0.000745965,-3.96E-05,-0.000751239,-0.000100734,0.000348887,0.000330512,-0.000318125,-0.000204044,0.000299394,-1.31E-05,-8.25E-05,-9.89E-05,-4.24E-06,0.000283903,-0.000109128,-0.00017266,6.81E-05,1.87E-05,0.000125408,-0.000122369,0.03949345,-0.014351974,0.040222031,0.033768015,0.005725207,-8.57E-05,18.77046466,14.78260126,16.36947569,16.70296745,16.69744899,17.16378464,46.051581,1
151.9990809,0.34212068,0.32989538,0.44399098,0.36835432,0.50013286,0.50825405,0.38047117,0.4302737,0.4644873,0.5042848,0.3870345,0.34939036,0.23588797,2679.12972,2719.138231,5835.888316,0.113386168,-30.500992,75.08791,0.61865634,18.369877,6.4612164,8.262024,3.289255,8.097424,-5.2586503,7.317768,3.7979033,1.3320564,0.25673157,3.5625548,-4.1486297,2.2130375,-1.7568513,1.24076,-1.1829895,3.7527556,0.001442637,0.000923192,-0.000308228,-0.000144857,-0.000177587,-0.000409013,-9.02E-05,-0.000141388,-0.000434899,-0.000165746,-5.03E-05,-0.0002756,-0.000154886,-3.80E-05,-0.000134069,6.84E-05,0.00032348,0.000267765,0.00015408,-3.70E-05,0.049835534,0.024658108,-0.051791801,0.002037743,0.001127395,-0.000907475,18.48738849,14.7840229,17.82572398,17.40488782,17.90019682,18.04244008,47.02169119,1
172.265625,0.4283922,0.44229937,0.47685328,0.42211267,0.4455727,0.46764183,0.57206273,0.46578875,0.40171513,0.49718955,0.49564126,0.52819306,0.24285199,1025.980845,1528.029472,2072.810564,0.031124676,-177.57402,141.4367,17.737028,16.88625,7.8278794,11.123082,0.038570687,5.748058,0.09681481,2.9163013,-0.3820773,-0.9717054,-2.1472015,1.5227764,1.0911108,2.1296575,-1.5318434,-1.308585,-1.8226142,0.7610481,-0.041119576,-0.027560784,0.001604771,0.006249934,0.004510451,0.001693708,-0.000441265,-0.00232259,0.001294157,0.003262052,0.001874065,0.001685889,-0.00018586,4.46E-05,0.002612094,0.002821207,0.001629751,0.000429901,0.000226776,2.45E-05,0.026034834,0.019207878,0.03852432,0.016727266,0.018695775,0.011126512,21.25215808,15.20401768,17.19654095,17.51120471,17.99368696,16.93007842,48.54871691,0
89.10290948,0.40064937,0.29165015,0.37371916,0.3220378,0.5670926,0.30829915,0.22919993,0.24356323,0.3014387,0.4895126,0.25891086,0.31731412,0.11329527,2341.521105,2460.581608,4979.835417,0.105983893,-145.42308,83.00654,7.1451025,35.932693,0.09693979,-1.6497376,-5.076691,-4.6303315,-11.24883,-3.4335961,-6.474908,-2.003332,-4.157884,-1.5330113,-5.8609924,-2.5542767,-5.7169523,0.48462892,-9.014725,-2.9448454,1.02E-08,0,1.59E-10,1.91E-09,0,-8.77E-10,4.78E-10,2.23E-09,1.83E-09,-1.20E-09,-9.57E-10,-1.28E-09,3.99E-11,6.78E-10,1.59E-10,9.57E-10,-1.59E-10,4.78E-10,-3.19E-10,-2.39E-10,0.106058625,0.010340987,-0.044694694,0.080468682,0.00023542,-0.003319988,21.96248973,16.57364247,21.62200623,21.61913296,21.09507669,21.14276714,47.86319816,0
117.4538352,0.39113855,0.31469765,0.35318753,0.40013483,0.5806088,0.51054806,0.40177974,0.36611342,0.3832584,0.4421983,0.34274933,0.4083815,0.25956556,1470.803963,1766.536705,2979.207211,0.058969322,-117.93389,125.5732,-7.540683,21.927301,7.932418,2.183049,5.3037677,8.566459,-4.9102592,16.593565,-0.9159369,6.0042963,3.4148903,2.3340752,-0.34828687,1.6679603,-4.2003355,5.3975983,0.076453015,3.5203943,-2.93E-09,1.46E-09,-2.38E-09,-1.83E-10,-1.37E-09,-1.83E-10,-2.20E-09,2.01E-09,1.83E-10,-9.15E-11,3.66E-10,-1.37E-10,4.58E-10,1.74E-09,9.15E-10,-5.95E-10,2.75E-10,-1.83E-10,-1.10E-09,9.15E-10,0.03362878,0.006711042,-0.042344796,0.074800494,0.005297176,0.00368015,19.73256648,14.48333582,17.99371382,17.39334141,19.18610652,22.60507046,51.36802764,0
172.265625,0.4283922,0.44229937,0.47685328,0.42211267,0.4455727,0.46764183,0.57206273,0.46578875,0.40171513,0.49718955,0.49564126,0.52819306,0.24285199,1025.980845,1528.029472,2072.810564,0.031124676,-177.57402,141.4367,17.737028,16.88625,7.8278794,11.123082,0.038570687,5.748058,0.09681481,2.9163013,-0.3820773,-0.9717054,-2.1472015,1.5227764,1.0911108,2.1296575,-1.5318434,-1.308585,-1.8226142,0.7610481,-0.041119576,-0.027560784,0.001604771,0.006249934,0.004510451,0.001693708,-0.000441265,-0.00232259,0.001294157,0.003262052,0.001874065,0.001685889,-0.00018586,4.46E-05,0.002612094,0.002821207,0.001629751,0.000429901,0.000226776,2.45E-05,0.026034834,0.019207878,0.03852432,0.016727266,0.018695775,0.011126512,21.25215808,15.20401768,17.19654095,17.51120471,17.99368696,16.93007842,48.54871691,0
89.10290948,0.40064937,0.29165015,0.37371916,0.3220378,0.5670926,0.30829915,0.22919993,0.24356323,0.3014387,0.4895126,0.25891086,0.31731412,0.11329527,2341.521105,2460.581608,4979.835417,0.105983893,-145.42308,83.00654,7.1451025,35.932693,0.09693979,-1.6497376,-5.076691,-4.6303315,-11.24883,-3.4335961,-6.474908,-2.003332,-4.157884,-1.5330113,-5.8609924,-2.5542767,-5.7169523,0.48462892,-9.014725,-2.9448454,1.02E-08,0,1.59E-10,1.91E-09,0,-8.77E-10,4.78E-10,2.23E-09,1.83E-09,-1.20E-09,-9.57E-10,-1.28E-09,3.99E-11,6.78E-10,1.59E-10,9.57E-10,-1.59E-10,4.78E-10,-3.19E-10,-2.39E-10,0.106058625,0.010340987,-0.044694694,0.080468682,0.00023542,-0.003319988,21.96248973,16.57364247,21.62200623,21.61913296,21.09507669,21.14276714,47.86319816,0
117.4538352,0.39113855,0.31469765,0.35318753,0.40013483,0.5806088,0.51054806,0.40177974,0.36611342,0.3832584,0.4421983,0.34274933,0.4083815,0.25956556,1470.803963,1766.536705,2979.207211,0.058969322,-117.93389,125.5732,-7.540683,21.927301,7.932418,2.183049,5.3037677,8.566459,-4.9102592,16.593565,-0.9159369,6.0042963,3.4148903,2.3340752,-0.34828687,1.6679603,-4.2003355,5.3975983,0.076453015,3.5203943,-2.93E-09,1.46E-09,-2.38E-09,-1.83E-10,-1.37E-09,-1.83E-10,-2.20E-09,2.01E-09,1.83E-10,-9.15E-11,3.66E-10,-1.37E-10,4.58E-10,1.74E-09,9.15E-10,-5.95E-10,2.75E-10,-1.83E-10,-1.10E-09,9.15E-10,0.03362878,0.006711042,-0.042344796,0.074800494,0.005297176,0.00368015,19.73256648,14.48333582,17.99371382,17.39334141,19.18610652,22.60507046,51.36802764,0
112.3471467,0.37527424,0.47066778,0.41964936,0.48781732,0.38037696,0.33975944,0.39816028,0.3799615,0.43103474,0.3246151,0.33537433,0.37384987,0.18007623,2638.256395,2757.357449,5905.281082,0.106842912,-70.816925,74.95482,7.1446223,20.664503,6.0814266,6.8996525,-0.9231522,4.9623713,-2.558476,6.5139937,0.7984618,7.741333,-0.57757616,0.8601454,0.11541353,2.621808,-2.900004,4.666848,-2.161979,-0.17012268,0,5.55E-10,-1.11E-09,4.03E-09,-1.11E-09,0,-1.81E-09,-9.72E-10,-6.25E-10,-8.33E-10,-5.55E-10,4.17E-10,3.47E-10,-2.01E-09,-4.17E-10,-2.08E-10,3.82E-10,-1.15E-09,5.55E-10,-3.47E-10,-0.037473258,-0.052136179,-0.011359698,0.000953092,0.017742017,0.014841557,17.64713282,14.79823937,18.26519929,17.78459518,18.08608562,18.03515279,47.42812968,1
